Costume,Ranking
Witch,1
Dinosaur,2
Harley Quinn,3
Rabbit,4
Clown,5
Angel,6
Fortnite,7
Devil,8
Ninja,9
Spider-Man,10
Cowboy,11
Doll,12
Zombie,13
Pumpkin,14
Purge,15
Pirate,16
Cheerleader,17
Fairy,18
Vampire,19
Chucky,20
Bear,21
Superhero,22
It,23
Mermaid,24
Skeleton,25
1980S,26
Batman,27
Star Wars,28
Unicorn,29
Joker,30
Wonder Woman,31
Powerpuff Girls,32
Princess,33
Ghost,34
Dragon,35
Beetlejuice,36
Hocus Pocus,37
Spider,38
Cowgirl,39
Alien,40
Descendants,41
Power Rangers,42
Monsters Inc,43
Yoda,44
Tinker Bell,45
Lion,46
Minnie Mouse,47
Baby Yoda,48
Gray Wolf,49
Minecraft,50
Pokemon,51
Cop,52
Shark,53
Tiger,54
Mouse,55
Cattle,56
Mickey Mouse,57
Black Panther,58
Jasmine,59
Barbie,60
Black Panther,61
Catwoman,62
Elsa,63
Werewolf,64
Horse,65
Chicken,66
Physician,67
Donald Trump,68
Iron Man,69
Playboy Bunny,70
1990S,71
Naruto,72
Poison Ivy,73
Clueless,74
Little Red Riding Hood,75
Scooby-Doo,76
Astronaut,77
Winnie The Pooh,78
Plague Doctor,79
